Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Tanzania,TZA,47786137,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334
"Population, total",SP.POP.TOTL,Thailand,THA,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942
"Population, total",SP.POP.TOTL,Togo,TGO,6926635,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829
"Population, total",SP.POP.TOTL,Tonga,TON,107502,107089,106626,106122,105707,105415,105150,104951,105254,106017
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663
"Population, total",SP.POP.TOTL,Tunisia,TUN,11174383,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946
"Population, total",SP.POP.TOTL,Turkiye,TUR,75277439,76576117,78112073,79646178,81019394,82089826,82809304,83481684,84135428,84775404
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,32081,33594,34985,36538,38246,39844,41487,43080,44276,45114
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10854,10918,10899,10877,10852,10828,10865,10956,11069,11204
"Population, total",SP.POP.TOTL,Uganda,UGA,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778
"Population, total",SP.POP.TOTL,Ukraine,UKR,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43792855
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145
